name,collection,material,verts,faces,x_min_mm,x_max_mm,y_min_mm,y_max_mm,z_min_mm,z_max_mm,r_max_mm,count,spool,axis_x,axis_y,axis_z,spin
inlet_lip,07 Casings and Frames,casing_alloy,2448,2448,-420.0,-368.0,-613.0,613.0,-613.0,613.0,613.0,,,,,,
mount_pads,09 Accessories,steel,480,480,662.0,2558.0,-419.3,419.3,373.9,576.1,677.8,,,,,,
mount_trunnions,09 Accessories,steel,328,400,654.0,2566.0,-424.0,424.0,306.5,578.2,675.2,,,,,,
splitter,07 Casings and Frames,titanium,2160,2160,546.0,640.0,-493.0,493.0,-493.0,493.0,493.0,,,,,,
turbine_frame_hub,07 Casings and Frames,hot_nickel,1152,1152,2450.0,2590.0,-190.0,190.0,-190.0,190.0,190.0,,,,,,
turbine_frame_struts,07 Casings and Frames,hot_nickel,800,656,2452.0,2622.0,-466.0,466.0,-466.0,466.0,466.0,,,,,,
vanes_fan_ogv,01 Inlet and Fan,composite,56960,52960,613.4,681.6,-575.5,575.5,-575.5,575.5,575.5,,,,,,
vanes_fan_s1,01 Inlet and Fan,titanium,42720,39720,206.0,299.0,-591.7,591.7,-591.7,591.7,591.7,,,,,,
vanes_fan_s2,01 Inlet and Fan,titanium,51264,47664,437.8,512.2,-583.7,583.7,-583.7,583.7,583.7,,,,,,
vanes_hpc_s1,02 HP Compressor,steel,37024,34424,854.0,911.0,-455.7,455.7,-455.7,455.7,455.7,,,,,,
vanes_hpc_s2,02 HP Compressor,steel,41296,38396,972.6,1023.4,-442.7,442.7,-442.7,442.7,442.7,,,,,,
vanes_hpc_s3,02 HP Compressor,steel,45568,42368,1078.2,1124.0,-430.7,430.7,-430.7,430.7,430.7,,,,,,
vanes_hpc_s4,02 HP Compressor,steel,49840,46340,1173.5,1214.5,-418.7,418.7,-418.7,418.7,418.7,,,,,,
vanes_hpc_s5,02 HP Compressor,steel,54112,50312,1259.7,1295.7,-407.7,407.7,-407.7,407.7,407.7,,,,,,
vanes_hpc_s6,02 HP Compressor,steel,58384,54284,1335.7,1367.9,-396.7,396.7,-396.7,396.7,396.7,,,,,,
vanes_hpc_s7,02 HP Compressor,steel,62656,58256,1403.3,1431.9,-385.7,385.7,-385.7,385.7,385.7,,,,,,
vanes_hpc_s8,02 HP Compressor,steel,66928,62228,1463.6,1488.4,-374.7,374.7,-374.7,374.7,374.7,,,,,,
vanes_hpc_s9,02 HP Compressor,steel,71200,66200,1517.2,1539.6,-367.4,367.4,-367.4,367.4,367.4,,,,,,
